task,attempt,duration_s,hermes_exit,post_test_exit,tool_calls,hermes_duration,model
002,attempt-2,165.0,0,,,,qwen3.6:27b
002,attempt-3,97.0,0,0,12,1m 14s,qwen3.6:27b
002b,attempt-1,99.0,0,0,17,1m 37s,qwen3.6:27b
003,attempt-1,397.0,0,0,15,6m 35s,qwen3.6:27b
004,attempt-1,352.0,0,0,11,5m 51s,qwen3.6:27b
005,attempt-1,763.0,0,0,24,12m 41s,qwen3.6:27b
006,attempt-1,773.0,0,0,27,12m 51s,qwen3.6:27b
007,attempt-1,1023.0,0,1,80,17m 2s,qwen3.6:27b
007b,attempt-1,74.0,0,0,11,1m 12s,qwen3.6:27b
008,attempt-1,121.0,0,0,16,1m 59s,qwen3.6:27b
009,attempt-1,171.0,0,0,16,2m 48s,qwen3.6:27b
010,attempt-1,42.0,0,0,6,40s,qwen3.6:27b
